genesymbol,seqname,start,end
AMBN,chr4,70592256,70607288
ENAM,chr4,70628744,70646824
ENSG00000286848,chr4,70637745,70686816
JCHAIN,chr4,70655541,70681817
UTP3,chr4,70688532,70690551
RNU6-520P,chr4,70701755,70701858
RNU6-784P,chr4,70703018,70703123
ENSG00000272986,chr4,70703747,70704491
RUFY3,chr4,70704204,70808619
GRSF1,chr4,70815783,70839897
U6,chr4,70848136,70848218
RNU6-891P,chr4,70852130,70852240
ENSG00000289019,chr4,70899216,70902252
MOB1B,chr4,70902326,71022449
DCK,chr4,70992538,71030914
SLC4A4,chr4,71062667,71572087
ENSG00000249170,chr4,71300258,71301235
LDHAL6EP,chr4,71434405,71437924
GC,chr4,71741696,71804041
RNA5SP163,chr4,71759518,71759616
ENSG00000248567,chr4,71821305,71823980
NPFFR2,chr4,72031902,72148305
ADAMTS3,chr4,72280969,72569221
ENSG00000250877,chr4,72323028,72330751
HNRNPA1P67,chr4,72807267,72808192
RNU4ATAC9P,chr4,72965178,72965303
RNU6ATAC5P,chr4,73026748,73026873
COX18,chr4,73052362,73069755
ANKRD17,chr4,73073376,73258798
HMGA1P2,chr4,73098822,73099145
ANKRD17-DT,chr4,73259209,73317953
ENSG00000221639,chr4,73263960,73264084
ENSG00000249976,chr4,73337233,73337771
ALB,chr4,73397114,73421482
AFP,chr4,73431138,73456174
AFM,chr4,73481745,73504001
LINC02499,chr4,73508803,73534128
ENSG00000249970,chr4,73543822,73544013
RASSF6,chr4,73571550,73620631
ENSG00000289530,chr4,73706323,73709526
UMLILO,chr4,73710302,73714527
CXCL8,chr4,73740541,73743716
ENSG00000249051,chr4,73777636,73778060
CXCL6,chr4,73836640,73849064
PPBPP1,chr4,73847866,73848829
PF4V1,chr4,73853296,73854483
CXCL1,chr4,73869393,73871308
HNRNPA1P55,chr4,73938604,73939558
CXCL1P1,chr4,73944011,73944324
PF4,chr4,73980811,73982027
ENSG00000288796,chr4,73981074,73988190
PPBP,chr4,73986439,73988190
CXCL5,chr4,73995642,73998677
ENSG00000287037,chr4,73997933,74007682
RN7SL218P,chr4,74011578,74011876
CXCL3,chr4,74036589,74038807
PPBPP2,chr4,74054038,74055399
ENSG00000288019,chr4,74076533,74078973
ENSG00000251017,chr4,74085995,74086672
CXCL2,chr4,74097040,74099196
ENSG00000289241,chr4,74099403,74099736
MTHFD2L,chr4,74114174,74303099
ENSG00000269559,chr4,74156511,74158373
EPGN,chr4,74308470,74316789
EREG,chr4,74365145,74388749
ENSG00000250532,chr4,74418917,74440457
AREG,chr4,74445136,74455005
ENSG00000249942,chr4,74552584,74589481
BTC,chr4,74744759,74794523
ENSG00000287375,chr4,74881174,74882934
HSPE1P23,chr4,74917822,74918138
PARM1,chr4,74933095,75050115
PARM1-AS1,chr4,74955974,74970362
ENSG00000248165,chr4,74993877,75034824
LINC02562,chr4,75081702,75084717
ENSG00000250315,chr4,75101477,75101943
ENSG00000250560,chr4,75194867,75195079
ENSG00000251185,chr4,75269068,75361182
ENSG00000251454,chr4,75341279,75359024
LINC02483,chr4,75354076,75362566
ENSG00000248646,chr4,75361207,75434449
ENSG00000250735,chr4,75401195,75423023
RCHY1,chr4,75479033,75514764
THAP6,chr4,75513946,75550473
ODAPH,chr4,75556048,75565871
CDKL2,chr4,75576496,75630716
G3BP2,chr4,75641849,75724589
Y_RNA,chr4,75662120,75662213
USO1,chr4,75724577,75814286
ENSG00000229717,chr4,75822966,75838389
RNU2-16P,chr4,75829454,75829589
PPEF2,chr4,75859864,75902571
NAAA,chr4,75913660,75941013
SDAD1,chr4,75940950,75990962
SDAD1-AS1,chr4,75980790,76005942
CXCL9,chr4,76001275,76007509
ART3,chr4,76011184,76112802
CXCL10,chr4,76021118,76023497
CXCL11,chr4,76033682,76041415
ENSG00000225846,chr4,76036750,76037064
NUP54,chr4,76114659,76148444
ENSG00000286074,chr4,76148561,76200666
SCARB2,chr4,76158737,76234536
FAM47E,chr4,76214040,76283783
ENSG00000287401,chr4,76240740,76312098
FAM47E-STBD1,chr4,76251721,76311129
ENSG00000289515,chr4,76305891,76306529
STBD1,chr4,76306733,76311130
CCDC158,chr4,76312997,76421868
SNX5P1,chr4,76344550,76345590
RNU6-1000P,chr4,76356610,76356715
ENSG00000240426,chr4,76401251,76401569
ENSG00000199857,chr4,76402076,76402146
SHROOM3,chr4,76435229,76783253
ENSG00000249278,chr4,76509284,76509719
RNU6-145P,chr4,76532222,76532327
MIR4450,chr4,76573568,76573632
MIR548AH,chr4,76575551,76575626
SHROOM3-AS1,chr4,76708853,76802426
ENSG00000224218,chr4,76758554,76801964
ENSG00000270244,chr4,76886029,76886370
ENSG00000242727,chr4,76891034,76891445
SOWAHB,chr4,76894152,76898144
ENSG00000289586,chr4,76908814,76949639
SEPTIN11,chr4,76949751,77040384
TXNP6,chr4,76958860,76959169
CCNI,chr4,77047155,77076309
ENSG00000289443,chr4,77048964,77050852
ENSG00000288888,chr4,77056585,77057629
ENSG00000289496,chr4,77076073,77076960
RPL7P17,chr4,77082403,77083126
ENSG00000271676,chr4,77112495,77113458
RNU6-1187P,chr4,77150328,77150437
CCNG2,chr4,77157207,77433388
ENSG00000270669,chr4,77216416,77216878
ENSG00000250006,chr4,77311397,77312111
ENSG00000248831,chr4,77350370,77351235
ENSG00000249036,chr4,77394491,77494286
CXCL13,chr4,77511753,77611834
ENSG00000221711,chr4,77702746,77702803
CNOT6L,chr4,77713387,77819615
ENSG00000289379,chr4,77820365,77820767
MRPL1,chr4,77862830,77952785
ENSG00000250214,chr4,77864508,77864804
ENSG00000248926,chr4,77958000,77958780
HMGB1P44,chr4,77963940,77964511
HNRNPA1P56,chr4,77987860,77988813
ENSG00000248128,chr4,78003143,78003439
ENSG00000249072,chr4,78008512,78008688
FRAS1,chr4,78057323,78544269
SERBP1P5,chr4,78180866,78182046
MICOS10P4,chr4,78379197,78379514
ANXA3,chr4,78551747,78610451
Y_RNA,chr4,78632273,78632385
LINC01094,chr4,78638780,78683185
HIGD1AP13,chr4,78648954,78649242
ENSG00000287632,chr4,78669690,78691671
ENSG00000239793,chr4,78768499,78768750
BMP2K-DT,chr4,78773654,78775973
BMP2K,chr4,78776342,78916365
ENSG00000266270,chr4,78820752,78820821
PAQR3,chr4,78887127,78939438
RN7SL127P,chr4,78898855,78899154
LINC01088,chr4,78939485,79309673
NAA11,chr4,79225694,79326061
GK2,chr4,79406361,79408228
LINC00989,chr4,79491802,79623479
OR7E94P,chr4,79587302,79588130
ENSG00000251399,chr4,79596542,79597173
LINC02469,chr4,79663761,79696837
PCAT4,chr4,79827471,79877770
SNORA75,chr4,79843102,79843228
ANTXR2,chr4,79901146,80125454
KPNA2P1,chr4,80079532,80081122
RPSAP39,chr4,80161129,80162011
PRDM8-AS1,chr4,80182637,80197410
PRDM8,chr4,80183879,80204329
FGF5,chr4,80266639,80336680
CFAP299,chr4,80335730,80963750
ENSG00000232327,chr4,80386178,80388716
BMP3,chr4,81030708,81057627
PRKG2,chr4,81087370,81215222
PRKG2-AS1,chr4,81164922,81193395
RNU5A-2P,chr4,81334303,81334418
RASGEF1B,chr4,81426393,82044244
MTCYBP44,chr4,81733385,81734207
COX5BP1,chr4,81919995,81920387
ENSG00000252762,chr4,81928313,81928439
NPM1P41,chr4,82010665,82013095
HNRNPA3P13,chr4,82128535,82129656
RNU6-499P,chr4,82174547,82174653
BIN2P1,chr4,82275071,82276600
VAMP9P,chr4,82284971,82340013
ENSG00000273156,chr4,82344876,82346842
ENSG00000289480,chr4,82348252,82349441
HNRNPD,chr4,82352498,82374503
HNRNPD-DT,chr4,82374142,82384027
IGBP1P4,chr4,82401578,82402456
SNORD42,chr4,82402638,82402706
HNRNPDL,chr4,82422565,82430462
ENOPH1,chr4,82430590,82461177
TMEM150C,chr4,82483170,82562357
RPL7AP26,chr4,82490823,82491635
ENSG00000227304,chr4,82494786,82496278
ENSG00000289186,chr4,82566385,82570618
ENSG00000249960,chr4,82571137,82571814
ENSG00000248113,chr4,82580117,82581384
LINC00575,chr4,82610974,82621610
ENSG00000286490,chr4,82612184,82615575
SCD5,chr4,82629539,82798796
ENSG00000270480,chr4,82691737,82692468
MIR575,chr4,82753337,82753430
ENSG00000270842,chr4,82775461,82776101
SEC31A,chr4,82818509,82901166
THAP9-AS1,chr4,82893009,82900960
THAP9,chr4,82900684,82919969
LIN54,chr4,82909973,83012926
Y_RNA,chr4,82944738,82944845
RNU6-615P,chr4,83003412,83003517
COPS4,chr4,83034447,83075818
ENSG00000286035,chr4,83075957,83085600
PLAC8,chr4,83090048,83137075
ENSG00000250057,chr4,83233512,83247213
ENSG00000250677,chr4,83237303,83237444
ENSG00000248401,chr4,83247179,83248206
COQ2,chr4,83261536,83284914
HPSE,chr4,83292461,83335153
ENSG00000274154,chr4,83369416,83369523
ENSG00000251647,chr4,83377363,83378076
HELQ,chr4,83407343,83455855
MRPS18C,chr4,83455932,83469735
ABRAXAS1,chr4,83459517,83523348
SLC25A14P1,chr4,83477524,83478424
RPL30P5,chr4,83502699,83503034
GPAT3,chr4,83535914,83605875
Y_RNA,chr4,83636196,83636290
ENSG00000249171,chr4,83668510,83731755
ENSG00000250546,chr4,83796436,84299189
RNU6-774P,chr4,84233657,84233763
ENSG00000214980,chr4,84244003,84245488
ENSG00000248749,chr4,84371393,84380189
NKX6-1,chr4,84491985,84499292
RPL3P13,chr4,84544304,84544519
CDS1,chr4,84583127,84651334
WDFY3,chr4,84669597,84966690
RN7SL552P,chr4,84687725,84688000
WDFY3-AS1,chr4,84796614,84810403
RNU6-469P,chr4,84886386,84886486
WDFY3-AS2,chr4,84965534,85011277
ENSG00000286189,chr4,84970180,84970730
RN7SKP48,chr4,85100496,85100823
ENSG00000248725,chr4,85246157,85246912
ARHGAP24,chr4,85475150,86002668
MIR4451,chr4,85722468,85722533
MAPK10,chr4,85990007,86594625
MAPK10-AS1,chr4,86117912,86219926
RN7SKP96,chr4,86336318,86336614
MIR4452,chr4,86542482,86542552
PTPN13,chr4,86594315,86815171
SLC10A6,chr4,86823468,86849384
ENSG00000243312,chr4,86870191,86871404
C4orf36,chr4,86876205,86892422
ENSG00000250202,chr4,86876338,86876652
ENSG00000285458,chr4,86886472,86936178
ENSG00000251411,chr4,86913266,86914817
ENSG00000284968,chr4,86924630,86936202
AFF1,chr4,86935002,87141039
TECRP1,chr4,86949669,86950113
KLHL8,chr4,87160103,87240314
ENSG00000248196,chr4,87166844,87167734
GAPDHP60,chr4,87207092,87208086
ENSG00000250572,chr4,87261931,87266822
MIR5705,chr4,87300495,87300583
HSD17B13,chr4,87303789,87322886
ENSG00000255723,chr4,87317170,87345210
HSD17B11,chr4,87336515,87391188
RN7SL681P,chr4,87386883,87387174
ENSG00000249262,chr4,87410644,87411388
NUDT9,chr4,87422573,87459455
ENSG00000272856,chr4,87460807,87462280
SPARCL1,chr4,87473335,87531061
ENSG00000249001,chr4,87568035,87733956
DSPP,chr4,87608529,87616873
DMP1,chr4,87650280,87664361
Y_RNA,chr4,87743952,87744053
CHCHD2P7,chr4,87785920,87786371
IBSP,chr4,87799554,87812435
MEPE,chr4,87821398,87846814
HSP90AB3P,chr4,87891843,87894015
ENSG00000286618,chr4,87974385,88008477
SPP1,chr4,87975667,87983532
RNU1-36P,chr4,88000237,88000401
ENSG00000289034,chr4,88006143,88007459
PKD2,chr4,88007635,88077777
ABCG2,chr4,88090150,88231628
ENSG00000241853,chr4,88163579,88163967
RNU6-818P,chr4,88201703,88201810
RNU6ATAC31P,chr4,88206427,88206552
ENSG00000251285,chr4,88220569,88223837
RNU6-1298P,chr4,88226729,88226829
PPM1K,chr4,88257620,88284769
RNU6-112P,chr4,88275205,88275308
PPM1K-DT,chr4,88284507,88341661
Y_RNA,chr4,88330176,88330278
ENSG00000287181,chr4,88352222,88358423
ENSG00000286978,chr4,88358945,88361304
HERC6,chr4,88378739,88443097
HERC5,chr4,88457119,88506163
NCOA4P2,chr4,88508591,88510403
PYURF,chr4,88520998,88523776
PIGY,chr4,88520998,88523776
ENSG00000287542,chr4,88523810,88708450
PIGY-DT,chr4,88523826,88524983
ENSG00000249755,chr4,88527160,88528170
RN7SKP244,chr4,88583666,88583972
HERC3,chr4,88592434,88708541
RNU6-33P,chr4,88684848,88684954
NAP1L5,chr4,88695913,88697829
FAM13A-AS1,chr4,88709298,88730103
ENSG00000278151,chr4,88710147,88710265
ENSG00000276003,chr4,88723209,88723316
FAM13A,chr4,88725955,89111398
TIGD2,chr4,89111533,89114901
ENSG00000270720,chr4,89119284,89119871
RNU6-907P,chr4,89130852,89130953
GPRIN3,chr4,89236383,89307800
ENSG00000251095,chr4,89410960,89726752
ENSG00000288563,chr4,89582507,89704590
SNCA,chr4,89700345,89838315
ENSG00000274238,chr4,89743792,89744305
ENSG00000277695,chr4,89747802,89755853
ENSG00000276542,chr4,89748283,89749154
SNCA-AS1,chr4,89836408,89841978
MMRN1,chr4,89879532,89954629
ENSG00000287239,chr4,89995223,89999409
CCSER1,chr4,90127394,91605295
RN7SKP248,chr4,90370123,90370427
ENSG00000251401,chr4,90682996,90683123
TMSB4XP8,chr4,90838903,90839037
ENSG00000248984,chr4,91108023,91112790
ENSG00000249049,chr4,91319034,91325306
ENSG00000279013,chr4,91603275,91605292
KRT19P6,chr4,91885046,91885254
ENSG00000249052,chr4,91887886,91904335
PMPCAP1,chr4,92182477,92184052
ENSG00000287392,chr4,92183235,92265316
ENSG00000280056,chr4,92260367,92260751
LNCPRESS2,chr4,92268767,92277075
ENSG00000248511,chr4,92297251,92304178
GRID2,chr4,92303966,93810157
MTND1P19,chr4,92702345,92702659
RACK1P3,chr4,92821986,92822918
ENSG00000248627,chr4,92833685,92838842
ENSG00000248750,chr4,92884663,92885107
ENSG00000250908,chr4,93318623,93319786
RNA5SP164,chr4,93820171,93820280
ATOH1,chr4,93828753,93830964
SMARCAD1-DT,chr4,94117792,94207556
HMGB3P15,chr4,94195940,94196513
SMARCAD1,chr4,94207611,94291292
HPGDS,chr4,94298535,94342876
ENSG00000287552,chr4,94315486,94343041
RPL35AP11,chr4,94369833,94370163
PDLIM5,chr4,94451857,94668227
ENSG00000249951,chr4,94675245,94702570
BMPR1B-DT,chr4,94743668,94757681
BMPR1B,chr4,94757955,95158448
UNC5C,chr4,95162504,95549206
UNC5C-AS1,chr4,95549129,95552457
RPL30P6,chr4,95644952,95645293
PDHA2,chr4,95840093,95841464
RNU6-1059P,chr4,95868667,95868764
RNU6-34P,chr4,96152297,96152403
ENSG00000250655,chr4,96212279,96213100
LINC02267,chr4,96310701,96818864
RN7SKP28,chr4,96348734,96349038
ENSG00000287841,chr4,96841995,96857900
COX7A2P2,chr4,96902801,96903050
ENSG00000253170,chr4,97120701,97135059
STPG2,chr4,97184093,98143476
ENSG00000254044,chr4,97334635,97633823
STPG2-AS1,chr4,97366681,97491899
CRYZP2,chr4,97916353,97917401
RPL5P12,chr4,98025390,98026240
DUTP8,chr4,98048555,98049043
ENSG00000214559,chr4,98251688,98261630
ENSG00000289532,chr4,98259944,98261165
RAP1GDS1,chr4,98261384,98443858
ENSG00000242318,chr4,98409290,98409763
TSPAN5,chr4,98470367,98658611
ENSG00000251523,chr4,98496364,98509935
TSPAN5-DT,chr4,98658904,98664550
ENSG00000249764,chr4,98713804,98713971
BTF3P13,chr4,98740742,98741231
EIF4E,chr4,98879276,98929133
TBCAP3,chr4,98909537,98909848
ENSG00000263923,chr4,98928897,98994994
FAM177A1P1,chr4,98955982,98956767
ENSG00000287512,chr4,98961083,98964790
RNU7-149P,chr4,98966815,98966873
NDUFS5P4,chr4,98976800,98977117
METAP1,chr4,98995659,99062809
MIR3684,chr4,98997387,98997460
ABT1P1,chr4,99022311,99023131
ENSG00000272777,chr4,99067256,99068125
ADH5,chr4,99070978,99088801
ENSG00000246090,chr4,99088805,99301356
ADH4,chr4,99123657,99157792
PCNAP1,chr4,99160514,99161645
ADH6,chr4,99202638,99219537
ADH1A,chr4,99276369,99291003
ADH1B,chr4,99304971,99352760
ADH1C,chr4,99336497,99352746
ADH7,chr4,99412261,99435510
ENSG00000250300,chr4,99469598,99498698
C4orf17,chr4,99511012,99542303
TRMT10A,chr4,99546709,99564039
MTTP,chr4,99564081,99623997
ENSG00000248676,chr4,99594799,99625913
C4orf54,chr4,99636529,99657828
DAPP1,chr4,99816827,99870190
ENSG00000279913,chr4,99844138,99844696
LAMTOR3,chr4,99878336,99894428
DNAJB14,chr4,99896248,99946618
ENSG00000279098,chr4,99942081,99942522
H2AZ1,chr4,99948086,99950355
H2AZ1-DT,chr4,99950006,100195099
ENSG00000250403,chr4,99990737,99991477
DYNLL1P6,chr4,100041841,100042104
DDIT4L,chr4,100185870,100190782
DDIT4L-AS1,chr4,100190033,100215505
EMCN,chr4,100395341,100880126
ENSG00000286150,chr4,100421655,100474461
LINC01216,chr4,100660279,100675113
LINC01217,chr4,100778582,100791426
LINC01218,chr4,100812255,100814280
PPP3CA,chr4,101023409,101348278
MIR8066,chr4,101240795,101240872
MIR1255A,chr4,101330302,101330414
FLJ20021,chr4,101347752,101348887
BANK1,chr4,101411286,102074812
ENSG00000286124,chr4,101640946,101649974
RNU6-462P,chr4,101723876,101723980
MTND5P5,chr4,101972423,101972798
ENSG00000251309,chr4,101976894,102036903
SLC39A8,chr4,102251080,102431258
RN7SL728P,chr4,102348392,102348691
ENSG00000248161,chr4,102418602,102450010
ENSG00000251572,chr4,102461250,102462152
ENSG00000260651,chr4,102500841,102501319
NFKB1,chr4,102501331,102617302
MANBA,chr4,102630770,102760994
ENSG00000241981,chr4,102662611,102663073
LRRC37A15P,chr4,102727274,102730721
KRT8P46,chr4,102728746,102730171
ENSG00000224207,chr4,102734358,102734612
ENSG00000251288,chr4,102751401,102752641
UBE2D3,chr4,102794383,102868896
ENSG00000286242,chr4,102814252,102819881
UBE2D3-AS1,chr4,102827611,102844099
RNU7-151P,chr4,102837047,102837099
CISD2,chr4,102868974,102892807
SLC9B1,chr4,102885048,103019719
PABPC1P7,chr4,102896725,102898237
ACTR3BP4,chr4,102961956,102963327
SLC9B2,chr4,103019868,103085829
BDH2,chr4,103077592,103099870
CENPE,chr4,103105349,103198445
LINC02428,chr4,103255822,103454667
TACR3-AS1,chr4,103548745,103624534
ENSG00000250920,chr4,103550586,103559277
DDX3P3,chr4,103572089,103574082
TACR3,chr4,103586031,103719985
ENSG00000286291,chr4,103871890,103878436
RNU6-635P,chr4,103924540,103924641
LINC02503,chr4,103961616,104037543
ENSG00000251170,chr4,104230380,104411035
CXXC4,chr4,104468308,104494901
CXXC4-AS1,chr4,104490849,104734546
ENSG00000250670,chr4,104556960,104568877
ENSG00000248242,chr4,104653874,104966793
ENSG00000244470,chr4,104886118,104886955
ENSG00000248373,chr4,104900125,105120000
RNU6-351P,chr4,104974672,104974771
ENSG00000276992,chr4,104996900,104997052
ENSG00000251473,chr4,105102891,105104004
ENSG00000252136,chr4,105105987,105106094
ENSG00000251259,chr4,105137280,105140619
TET2,chr4,105145875,105279816
TET2-AS1,chr4,105171354,105178063
RN7SL89P,chr4,105293664,105293946
PPA2,chr4,105369077,105474067
RNU6-553P,chr4,105406997,105407092
EEF1A1P9,chr4,105484698,105486080
PIMREGP2,chr4,105526596,105527397
ATP5F1EP1,chr4,105532475,105532630
ENSG00000250522,chr4,105540190,105552355
ARHGEF38,chr4,105552620,105708093
ARHGEF38-IT1,chr4,105561591,105570238
ENSG00000248778,chr4,105679050,105680094
INTS12,chr4,105682627,105895986
GSTCD,chr4,105708778,105847725
GSTCD-AS1,chr4,105746245,105827172
NPNT,chr4,105894775,106004027
ENSG00000250740,chr4,105927060,105932722
ENSG00000249635,chr4,106003317,106022478
TBCK,chr4,106041599,106316683
AIMP1,chr4,106315544,106349456
GIMD1,chr4,106357392,106368778
LINC02173,chr4,106433489,106453449
ENSG00000286147,chr4,106525401,106938640
ACTR6P1,chr4,106836498,106837601
DKK2,chr4,106921802,107283806
RAC1P5,chr4,107203349,107203924
ENSG00000251081,chr4,107258700,107301870
RNU6-551P,chr4,107435118,107435220
PAPSS1,chr4,107590276,107720234
SGMS2,chr4,107824563,107915047
CYP2U1-AS1,chr4,107863473,107989692
RNU6-733P,chr4,107867807,107867910
CYP2U1,chr4,107931549,107953461
ENSG00000249604,chr4,107936031,107941255
HADH,chr4,107989714,108035241
LEF1,chr4,108047545,108168956
LEF1-AS1,chr4,108167525,108258037
RPSAP34,chr4,108407843,108408578
ZACNP1,chr4,108415220,108416639
EXOC7P1,chr4,108417705,108419763
RPL34-DT,chr4,108538190,108620460
RPL34,chr4,108620569,108630412
OSTC,chr4,108650585,108667820
RNU6-431P,chr4,108652150,108652256
ENSG00000286136,chr4,108669949,108678874
ETNPPL,chr4,108742048,108763054
ENSG00000249257,chr4,108773613,108774020
RCC2P8,chr4,108788745,108789779
COL25A1,chr4,108808725,109302752
COL25A1-DT,chr4,109303035,109316135
RBMXP4,chr4,109346326,109347459
SEC24B-AS1,chr4,109347475,109433817
SEC24B,chr4,109433772,109540896
RN7SL55P,chr4,109450772,109451068
MIR576,chr4,109488698,109488795
SETP20,chr4,109553243,109554094
CDC42P4,chr4,109555170,109555732
MCUB,chr4,109560209,109688719
HIGD1AP14,chr4,109673843,109674124
CASP6,chr4,109688622,109703583
ENSG00000273447,chr4,109692004,109692703
PLA2G12A,chr4,109709989,109730070
ENSG00000285330,chr4,109713916,109801999
CFI,chr4,109740694,109801999
GAR1-DT,chr4,109815047,109815410
GAR1,chr4,109815510,109824740
RRH,chr4,109827972,109849123
LRIT3,chr4,109848107,109872315
KRT19P3,chr4,109879070,109879897
EGF,chr4,109912883,110013766
RNU6-35P,chr4,109992325,109992431
ELOVL6,chr4,110045846,110199199
RN7SL275P,chr4,110117736,110118070
ENSG00000248200,chr4,110146374,110147248
ENSG00000288913,chr4,110197678,110198398
HSBP1P2,chr4,110251871,110252099
RNF14P2,chr4,110264865,110265017
RNU6-205P,chr4,110278185,110278291
ZBED1P1,chr4,110291644,110293573
ENPEP,chr4,110365733,110565285
RPL7L1P13,chr4,110399773,110400511
ZNF969P,chr4,110415898,110418504
ENSG00000199894,chr4,110433109,110433188
ENSG00000250511,chr4,110512488,110519505
PANCR,chr4,110595504,110615603
PITX2,chr4,110617423,110642123
ENSG00000289096,chr4,110619749,110620545
LINC01438,chr4,110794403,110797344
MIR297,chr4,110860582,110860647
ENSG00000288692,chr4,110876410,111386234
LYPLA1P2,chr4,110945109,110945799
ENSG00000251312,chr4,111063583,111064227
RNU6-289P,chr4,111331412,111331518
ENSG00000248656,chr4,111516117,111739871
ENSG00000241722,chr4,111551854,111552173
ENSG00000250855,chr4,111802795,111839886
ENSG00000249815,chr4,111804418,112112273
ENSG00000288691,chr4,111847565,111948916
ENSG00000288685,chr4,111959584,111988314
CCDC34P1,chr4,112068010,112068526
TUBB8P3,chr4,112077598,112078400
ENSG00000240459,chr4,112116510,112116903
FAM241A,chr4,112145454,112195256
ENSG00000243280,chr4,112171215,112171527
AP1AR-DT,chr4,112229561,112231596
AP1AR,chr4,112231740,112273110
ENSG00000272567,chr4,112272968,112273316
TIFA,chr4,112274537,112285904
ALPK1,chr4,112285509,112442621
RTEL1P1,chr4,112356135,112370959
TOX4P1,chr4,112455924,112457785
NEUROG2,chr4,112513516,112516180
NEUROG2-AS1,chr4,112515385,112546881
RPL23AP94,chr4,112530371,112530672
ZGRF1,chr4,112539333,112636995
H3P14,chr4,112564988,112565398
LARP7,chr4,112637077,112657696
MIR302CHG,chr4,112646476,112650051
MIR367,chr4,112647874,112647941
MIR302D,chr4,112648004,112648071
MIR302A,chr4,112648183,112648251
MIR302C,chr4,112648363,112648430
MIR302B,chr4,112648485,112648557
OSTCP4,chr4,112685055,112685503
ENSG00000250046,chr4,112693047,112706810
GET1P1,chr4,112693459,112693792
RPL32P13,chr4,112738672,112739106
Y_RNA,chr4,112755816,112755917
RPL7AP30,chr4,112788083,112788878
ENSG00000250500,chr4,112797050,112798691
ANK2,chr4,112818032,113384221
ENSG00000234841,chr4,112826307,112827607
ENSG00000251126,chr4,112880298,112882330
ENSG00000228814,chr4,112881718,112882132
ANK2-AS1,chr4,112973272,113071962
ENSG00000249373,chr4,113031287,113034551
MIR1243,chr4,113106863,113106955
MIR8082,chr4,113152282,113152362
ENSG00000196656,chr4,113214046,113217170
CAMK2D,chr4,113418054,113761927
RN7SL184P,chr4,113419840,113420136
RNU1-138P,chr4,113420323,113420486
ENSG00000250229,chr4,113840050,113840236
ARSJ,chr4,113900284,113979727
ENSG00000249304,chr4,113943256,113944320
ENSG00000248716,chr4,114103938,114104225
ENSG00000288781,chr4,114334798,114364978
UGT8,chr4,114598770,114678225
MIR577,chr4,114656759,114656854
CIR1P2,chr4,114713579,114714920
RN7SL808P,chr4,114799331,114799629
NDST4,chr4,114827763,115113876
MRPS33P3,chr4,115142982,115143303
RPF2P2,chr4,115628812,115629707
PGAM4P2,chr4,115764099,115764819
KRT18P21,chr4,115920707,115921978
ENSG00000249259,chr4,115922015,116297160
EIF3KP3,chr4,116043407,116044045
TTC39CP1,chr4,116193997,116194751
MTRNR2L13,chr4,116298876,116300320
MIR1973,chr4,116299725,116299768
TRMT112P1,chr4,116378919,116379269
CUL4AP1,chr4,116425983,116430892
ENSG00000250791,chr4,116489364,116515619
ACTN4P1,chr4,116598161,116599611
ENSG00000287845,chr4,116714844,116719669
ENSG00000287520,chr4,116720123,116739945
ENSG00000287290,chr4,116751473,116952699
ENSG00000286637,chr4,116754453,116921792
RNU6-119P,chr4,116839279,116839385
ENSG00000271053,chr4,116858093,116858973
TRAM1L1,chr4,117083554,117085576
ENSG00000223605,chr4,117249924,117250188
LINC02262,chr4,117314597,117360655
LINC02263,chr4,117360596,117412712
LINC01378,chr4,117406166,117691188
RPSAP35,chr4,117413462,117414279
NT5C3AP1,chr4,117574512,117576174
ENSG00000286269,chr4,117648832,117657312
ENSG00000288921,chr4,117783097,117813961
LINC02264,chr4,117834145,117869960
NDST3,chr4,118033618,118258634
FKBP4P1,chr4,118193405,118194751
SNHG8,chr4,118278705,118285316
SNORA24,chr4,118279190,118279320
PRSS12,chr4,118280038,118353003
NDUFS5P5,chr4,118400514,118400834
ENSG00000273716,chr4,118460224,118460301
CEP170P1,chr4,118467590,118554100
ENSG00000260404,chr4,118591719,118633729
RNU6-1054P,chr4,118606450,118606553
CICP16,chr4,118635970,118638782
SEPTIN14P4,chr4,118640673,118640858
METTL14-DT,chr4,118664087,118685343
METTL14,chr4,118685392,118715433
SEC24D,chr4,118722823,118838683
SYNPO2,chr4,118850688,119061247
ENSG00000249002,chr4,119006032,119006401
MYOZ2,chr4,119135832,119187789
ENSG00000178636,chr4,119192773,119212644
USP53,chr4,119212587,119295518
C4orf3,chr4,119296419,119304445
FABP2,chr4,119317250,119322138
KLHL2P1,chr4,119334329,119378233
RNU4-33P,chr4,119367562,119367646
ENSG00000249244,chr4,119391831,119395335
GTF2IP12,chr4,119405523,119454653
ENSG00000260091,chr4,119409333,119410233
RNU6-1217P,chr4,119434005,119434108
SEPTIN7P14,chr4,119454762,119552025
ENSG00000250950,chr4,119456350,119457277
PDE5A,chr4,119494397,119628804
ENSG00000221245,chr4,119569699,119569825
ENSG00000286241,chr4,119686538,119693563
LINC01365,chr4,119799089,119804554
ENSG00000250183,chr4,119937557,119963898
LINC02502,chr4,119939540,119964293
Y_RNA,chr4,119947131,119947232
ENSG00000253825,chr4,120035033,120040615
MAD2L1,chr4,120055623,120066858
MAD2L1-DT,chr4,120066944,120564789
LTV1P1,chr4,120091046,120092282
SAR1AP3,chr4,120342056,120342647
ENSG00000249409,chr4,120639090,120650796
PRDM5,chr4,120684919,120922870
RNU6-550P,chr4,120810469,120810569
SETP12,chr4,120895494,120897083
